state,Desiertos,DesiertosModerados,NoDesiertos,SinInformacion,year
Amazonas,2.0,2.0,3.0,0.0,0.0
Amazonas,6.0,0.0,1.0,0.0,2022.0
Anzoátegui,8.0,9.0,4.0,0.0,0.0
Anzoátegui,8.0,7.0,5.0,1.0,2022.0
Apure,3.0,4.0,0.0,0.0,0.0
Apure,5.0,1.0,1.0,0.0,2022.0
Aragua,9.0,7.0,2.0,0.0,0.0
Aragua,8.0,8.0,2.0,0.0,2022.0
Barinas,1.0,7.0,4.0,0.0,0.0
Barinas,1.0,1.0,10.0,0.0,2022.0
Bolívar,1.0,1.0,8.0,1.0,0.0
Bolívar,1.0,5.0,5.0,0.0,2022.0
Carabobo,2.0,4.0,7.0,1.0,0.0
Carabobo,1.0,2.0,11.0,0.0,2022.0
Cojedes,6.0,2.0,1.0,0.0,0.0
Cojedes,7.0,1.0,1.0,0.0,2022.0
Delta Amacuro,1.0,2.0,1.0,0.0,0.0
Delta Amacuro,3.0,1.0,0.0,0.0,2022.0
Distrito capital,0.0,0.0,0.0,22.0,0.0
Distrito capital,0.0,21.0,1.0,0.0,2022.0
Falcón,1.0,2.0,21.0,1.0,0.0
Falcón,0.0,11.0,14.0,0.0,2022.0
Guárico,0.0,13.0,2.0,0.0,0.0
Guárico,1.0,5.0,9.0,0.0,2022.0
Lara,2.0,2.0,5.0,0.0,0.0
Lara,5.0,2.0,2.0,0.0,2022.0
Miranda,6.0,8.0,5.0,2.0,0.0
Miranda,3.0,8.0,10.0,0.0,2022.0
Monagas,3.0,7.0,2.0,1.0,0.0
Monagas,5.0,7.0,1.0,0.0,2022.0
Mérida,5.0,7.0,11.0,0.0,0.0
Mérida,1.0,8.0,14.0,0.0,2022.0
Nueva Esparta,2.0,4.0,4.0,1.0,0.0
Nueva Esparta,1.0,7.0,3.0,0.0,2022.0
Portuguesa,5.0,7.0,2.0,0.0,0.0
Portuguesa,6.0,5.0,3.0,0.0,2022.0
Sucre,5.0,8.0,2.0,0.0,0.0
Sucre,14.0,0.0,1.0,0.0,2022.0
Trujillo,5.0,3.0,4.0,8.0,0.0
Trujillo,1.0,11.0,8.0,0.0,2022.0
Táchira,11.0,11.0,5.0,2.0,0.0
Táchira,24.0,4.0,1.0,0.0,2022.0
Vargas,0.0,0.0,0.0,11.0,0.0
Vargas,7.0,4.0,0.0,0.0,2022.0
Yaracuy,5.0,2.0,7.0,0.0,0.0
Yaracuy,6.0,4.0,4.0,0.0,2022.0
Zulia,7.0,10.0,3.0,1.0,0.0
Zulia,19.0,0.0,2.0,0.0,2022.0
